iteration,nodes_num,tau1,tau2,mu,min_community,max_community,generation,best_history,avg_history,nmi_score
1,100,2.0,3.5,0.05,10,20,74,0.6163455655583163,0.5946752519072532,1.0
1,100,2.0,3.5,0.05,10,20,75,0.6220158199003609,0.6014823508846409,1.0
1,100,2.0,3.5,0.05,10,20,76,0.6257991109890246,0.6079917341957073,1.0
1,100,2.0,3.5,0.05,10,20,77,0.6366042777410131,0.6159522219031328,1.0
1,100,2.0,3.5,0.05,10,20,78,0.6444080959932075,0.6244005106818664,1.0
1,100,2.0,3.5,0.05,10,20,79,0.6524850478842288,0.6321725673937744,1.0
1,100,2.0,3.5,0.05,10,20,80,0.6669189901234875,0.6418644882568142,1.0
1,100,2.0,3.5,0.05,10,20,81,0.6676962504214061,0.649249335114685,1.0
1,100,2.0,3.5,0.05,10,20,82,0.6855467042914758,0.6592558903220167,1.0
1,100,2.0,3.5,0.05,10,20,83,0.6904006792443407,0.6678556356053891,1.0
1,100,2.0,3.5,0.05,10,20,84,0.6998339347475934,0.6735788154428198,1.0
1,100,2.0,3.5,0.05,10,20,85,0.7053184582152355,0.6804635311965438,1.0
1,100,2.0,3.5,0.05,10,20,86,0.7053184582152355,0.6898552079561487,1.0
1,100,2.0,3.5,0.05,10,20,87,0.7103035373147374,0.6954808556730637,1.0
1,100,2.0,3.5,0.05,10,20,88,0.7172270848680842,0.6994975433580142,1.0
1,100,2.0,3.5,0.05,10,20,89,0.7223744833872318,0.7019454918902721,1.0
1,100,2.0,3.5,0.05,10,20,90,0.7223744833872318,0.7044865087590056,1.0
1,100,2.0,3.5,0.05,10,20,91,0.7237635630361223,0.7081447982869058,1.0
1,100,2.0,3.5,0.05,10,20,92,0.7416467929428511,0.7135481776523618,1.0
1,100,2.0,3.5,0.05,10,20,93,0.7462541672389467,0.7185274975339934,1.0
1,100,2.0,3.5,0.05,10,20,94,0.7535085966861866,0.723993838105108,1.0
1,100,2.0,3.5,0.05,10,20,95,0.7584687035672814,0.7306241493838105,1.0
1,100,2.0,3.5,0.05,10,20,96,0.7691973929003982,0.7383352582751688,1.0
1,100,2.0,3.5,0.05,10,20,97,0.7817584187591304,0.7468289964914032,1.0
1,100,2.0,3.5,0.05,10,20,98,0.7817584187591304,0.7531181248361198,1.0
1,100,2.0,3.5,0.05,10,20,99,0.7823359013097928,0.7611921112762051,1.0
1,100,2.0,3.5,0.05,10,20,100,0.7835252032114273,0.7669068161670143,1.0
